sample_id,dataset,dataset_name,object_id,source_light_id,target_light_id,source_object_rgb_r,source_object_rgb_g,source_object_rgb_b,target_object_rgb_r,target_object_rgb_g,target_object_rgb_b,source_patch_r_r,source_patch_r_g,source_patch_r_b,source_patch_g_r,source_patch_g_g,source_patch_g_b,source_patch_b_r,source_patch_b_g,source_patch_b_b,target_patch_r_r,target_patch_r_g,target_patch_r_b,target_patch_g_r,target_patch_g_g,target_patch_g_b,target_patch_b_r,target_patch_b_g,target_patch_b_b
real_world_dataset_2__obj000__l0__to__l0,real,real_world_dataset_2,obj000,l0,l0,28.0,35.0,37.0,28.0,35.0,37.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj001__l0__to__l0,real,real_world_dataset_2,obj001,l0,l0,36.0,29.0,35.0,36.0,29.0,35.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj002__l0__to__l0,real,real_world_dataset_2,obj002,l0,l0,41.0,30.0,38.0,41.0,30.0,38.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj003__l0__to__l0,real,real_world_dataset_2,obj003,l0,l0,31.0,47.0,40.0,31.0,47.0,40.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj004__l0__to__l0,real,real_world_dataset_2,obj004,l0,l0,51.0,36.0,36.0,51.0,36.0,36.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj005__l0__to__l0,real,real_world_dataset_2,obj005,l0,l0,76.0,34.0,37.0,76.0,34.0,37.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj006__l0__to__l0,real,real_world_dataset_2,obj006,l0,l0,51.0,81.0,47.0,51.0,81.0,47.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj007__l0__to__l0,real,real_world_dataset_2,obj007,l0,l0,97.0,59.0,40.0,97.0,59.0,40.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj008__l0__to__l0,real,real_world_dataset_2,obj008,l0,l0,119.0,41.0,35.0,119.0,41.0,35.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj009__l0__to__l0,real,real_world_dataset_2,obj009,l0,l0,70.0,98.0,53.0,70.0,98.0,53.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj010__l0__to__l0,real,real_world_dataset_2,obj010,l0,l0,122.0,75.0,49.0,122.0,75.0,49.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj011__l0__to__l0,real,real_world_dataset_2,obj011,l0,l0,167.0,66.0,54.0,167.0,66.0,54.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj012__l0__to__l0,real,real_world_dataset_2,obj012,l0,l0,106.0,126.0,77.0,106.0,126.0,77.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj013__l0__to__l0,real,real_world_dataset_2,obj013,l0,l0,161.0,110.0,76.0,161.0,110.0,76.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
